User_ID,Distance_To_Store_Meters,Is_Within_Geofence,Push_Notifications_Count,Days_Since_Last_Visit,Offer_Discount_Pct,Historical_Spend_USD,Conversion_Outcome
USR_000001,359,0,4,1,15,153.48,1
USR_000002,224,0,4,20,10,100.87,1
USR_000003,207,0,3,0,15,50.59,1
USR_000004,207,0,2,43,30,136.45,1
USR_000005,697,0,6,31,30,88.1,0
USR_000006,430,0,2,6,15,45.71,1
USR_000007,169,1,6,5,15,140.79,1
USR_000008,370,0,4,13,15,85.3,1
USR_000009,299,0,2,13,20,162.09,1
USR_000010,32,1,2,1,25,111.09,1
USR_000011,100,1,3,3,20,104.44,1
USR_000012,315,0,5,14,15,217.18,1
USR_000013,654,0,2,22,20,127.38,0
USR_000014,208,0,1,2,10,107.99,1
USR_000015,158,1,2,16,30,127.92,1
USR_000016,272,0,4,28,30,127.67,0
USR_000017,150,1,1,1,30,196.15,1
USR_000018,197,1,2,8,10,97.4,1
USR_000019,247,0,4,26,20,132.63,0
USR_000020,96,1,2,6,20,111.09,1
USR_000021,445,0,1,4,15,161.32,0
USR_000022,80,1,1,19,25,137.79,1
USR_000023,70,1,2,7,20,99.17,1
USR_000024,290,0,3,17,20,115.11,1
USR_000025,422,0,2,1,10,139.82,1
USR_000026,284,0,1,11,30,72.8,1
USR_000027,228,0,1,6,20,145.61,1
USR_000028,196,1,2,82,30,80.61,1
USR_000029,170,1,3,12,10,169.47,1
USR_000030,515,0,1,16,20,170.53,1
USR_000031,318,0,4,1,20,52.29,1
USR_000032,182,1,4,67,10,138.78,1
USR_000033,140,1,3,0,10,107.34,1
USR_000034,388,0,2,1,20,100.45,0
USR_000035,507,0,5,1,20,116.1,1
USR_000036,477,0,2,28,30,125.89,1
USR_000037,120,1,3,18,20,42.91,1
USR_000038,194,1,2,50,10,30.99,0
USR_000039,168,1,4,0,30,182.03,1
USR_000040,215,0,1,16,10,115.7,1
USR_000041,442,0,3,10,20,115.29,1
USR_000042,615,0,3,14,15,79.88,1
USR_000043,326,0,4,10,10,104.14,0
USR_000044,144,1,1,15,30,70.76,1
USR_000045,243,0,3,33,15,108.63,1
USR_000046,691,0,3,12,10,106.68,0
USR_000047,267,0,3,31,15,103.0,0
USR_000048,196,1,3,21,20,118.52,1
USR_000049,209,0,3,28,20,112.96,1
USR_000050,325,0,6,15,10,154.28,1
USR_000051,123,1,3,10,15,169.08,1
USR_000052,164,1,1,1,15,123.95,1
USR_000053,472,0,1,25,15,84.84,0
USR_000054,319,0,1,3,15,126.36,1
USR_000055,269,0,2,0,15,96.6,0
USR_000056,488,0,3,10,25,143.27,1
USR_000057,137,1,1,14,10,34.56,1
USR_000058,191,1,2,15,10,111.95,1
USR_000059,311,0,2,15,10,171.37,0
USR_000060,304,0,4,14,25,134.94,1
USR_000061,63,1,4,23,15,189.72,1
USR_000062,177,1,1,20,20,44.59,1
USR_000063,220,0,3,23,10,83.64,0
USR_000064,336,0,3,8,10,95.21,1
USR_000065,303,0,4,0,15,126.63,0
USR_000066,235,0,2,14,20,161.85,1
USR_000067,32,1,2,3,20,95.76,1
USR_000068,244,0,2,27,20,68.87,1
USR_000069,261,0,2,17,20,85.8,0
USR_000070,1094,0,5,20,10,126.29,0
USR_000071,214,0,3,4,20,91.2,1
USR_000072,313,0,3,14,15,112.63,0
USR_000073,543,0,5,10,30,62.98,0
USR_000074,425,0,3,4,20,177.72,1
USR_000075,631,0,2,23,15,139.67,1
USR_000076,64,1,2,11,15,126.8,1
USR_000077,103,1,6,2,25,62.19,1
USR_000078,155,1,2,5,10,162.96,1
USR_000079,53,1,2,3,25,103.99,1
USR_000080,263,0,5,5,10,196.65,1
USR_000081,110,1,2,2,15,108.1,1
USR_000082,686,0,5,6,15,122.96,0
USR_000083,126,1,2,16,15,76.34,1
USR_000084,192,1,3,44,10,71.58,1
USR_000085,442,0,1,3,10,165.76,1
USR_000086,79,1,3,4,20,113.7,1
USR_000087,50,1,5,0,10,184.5,1
USR_000088,287,0,3,3,20,78.56,1
USR_000089,303,0,2,7,30,67.97,1
USR_000090,434,0,2,8,20,95.08,0
USR_000091,365,0,2,4,10,47.76,1
USR_000092,312,0,5,2,15,109.54,0
USR_000093,140,1,1,11,25,159.63,1
USR_000094,297,0,2,7,30,168.46,1
USR_000095,311,0,6,7,20,43.73,0
USR_000096,135,1,1,31,15,36.95,1
USR_000097,813,0,1,11,10,90.98,0
USR_000098,353,0,4,6,20,44.54,1
USR_000099,104,1,2,4,20,165.17,1
USR_000100,435,0,3,7,15,113.14,1
USR_000101,486,0,4,27,10,97.89,0
USR_000102,338,0,4,46,20,162.98,0
USR_000103,205,0,1,6,15,124.64,1
USR_000104,130,1,2,3,10,85.44,1
USR_000105,235,0,4,34,20,77.87,1
USR_000106,322,0,3,2,10,70.25,0
USR_000107,252,0,4,4,25,135.42,1
USR_000108,650,0,3,3,20,144.95,0
USR_000109,391,0,3,11,10,192.06,1
USR_000110,118,1,4,7,15,66.08,1
USR_000111,94,1,5,4,25,145.53,1
USR_000112,355,0,4,20,25,72.96,1
USR_000113,209,0,5,15,10,128.23,1
USR_000114,415,0,2,75,10,97.03,0
USR_000115,353,0,4,5,20,128.91,0
USR_000116,236,0,2,26,10,162.79,0
USR_000117,119,1,4,5,15,152.11,1
USR_000118,56,1,2,0,20,32.19,1
USR_000119,293,0,2,2,20,64.8,1
USR_000120,78,1,6,9,15,75.3,1
USR_000121,114,1,5,23,10,179.79,1
USR_000122,280,0,5,0,15,190.15,1
USR_000123,261,0,3,24,15,152.2,0
USR_000124,87,1,2,17,15,87.49,1
USR_000125,523,0,2,0,10,182.34,1
USR_000126,514,0,2,1,25,107.27,1
USR_000127,363,0,3,1,15,99.26,1
USR_000128,363,0,2,15,10,16.68,1
USR_000129,363,0,2,11,20,185.08,1
USR_000130,483,0,2,6,20,130.44,1
USR_000131,398,0,5,1,15,107.01,1
USR_000132,128,1,1,6,10,148.65,1
USR_000133,206,0,2,16,15,105.22,1
USR_000134,1019,0,5,1,10,144.48,0
USR_000135,34,1,3,27,10,126.11,1
USR_000136,169,1,3,0,30,87.2,1
USR_000137,525,0,3,13,10,64.09,1
